name,timestamp,case_id
PROROGA UTENTE,02-JAN-24 05.15.00.000000 PM,GBS
DISMISSIONE UTENTE,03-JAN-24 08.36.57.000000 AM,GBS00107
PROROGA UTENTE,03-JAN-24 08.48.10.000000 AM,GBS07328
PROROGA UTENTE,03-JAN-24 08.48.10.000000 AM,GBS08509
PROROGA UTENTE,03-JAN-24 08.48.10.000000 AM,GBS07323
DISMISSIONE UTENTE,03-JAN-24 08.54.04.000000 AM,GBS04651
DISMISSIONE UTENTE,03-JAN-24 08.26.00.000000 AM,GBS01456
CREAZIONE UTENTE,31-JAN-24 12.36.21.000000 PM,GBS09804
PROROGA UTENTE,02-JAN-24 12.32.00.000000 PM,GBS07677
PROROGA UTENTE,02-JAN-24 01.23.00.000000 PM,GBS
DISMISSIONE UTENTE,03-JAN-24 08.37.00.000000 AM,GBS02905
DISMISSIONE UTENTE,03-JAN-24 08.37.00.000000 AM,GBS02193
DISMISSIONE UTENTE,03-JAN-24 09.16.54.000000 AM,GBS02901
DISMISSIONE UTENTE,03-JAN-24 09.16.54.000000 AM,GBS01319
PROROGA UTENTE,03-JAN-24 08.52.21.000000 AM,GBS
DISMISSIONE UTENTE,03-JAN-24 08.32.00.000000 AM,GBS01296
DISMISSIONE UTENTE,03-JAN-24 08.31.00.000000 AM,GBS00192
PROROGA UTENTE,03-JAN-24 11.50.00.000000 AM,GBS07637
DISMISSIONE UTENTE,26-JAN-24 01.36.00.000000 PM,GBS07605
EXCHANGE MODIFICA UTENTE,01-FEB-24 07.20.00.000000 AM,GBS09795
CREAZIONE UTENTE,31-JAN-24 01.59.00.000000 PM,GBS09810
CREAZIONE UTENTE,27-MAY-25 07.46.09.000000 PM,GBS11597
CREAZIONE UTENTE,03-JUN-25 03.44.00.000000 PM,GBS11601
PROROGA UTENTE,06-JUN-25 07.19.38.000000 PM,GBS
PROROGA UTENTE,06-JUN-25 07.19.38.000000 PM,GBS
CREAZIONE UTENTE,27-MAY-25 12.43.42.000000 PM,GBS
CREAZIONE UTENTE,27-MAY-25 07.52.05.000000 PM,GBS11594
DISMISSIONE UTENTE,04-NOV-24 01.49.00.000000 PM,GBS08619
DISMISSIONE UTENTE,04-NOV-24 01.49.00.000000 PM,GBS09322
EXCHANGE MODIFICA UTENTE,11-NOV-24 04.37.00.000000 PM,GBS09742
