order_id,material_name,material_code,quantity,unit_price,total_price,order_date,employee_id,status,region,is_free_text,Prediction,Probability,supplier
0,rug,462338743-7,20,680,13600,9/1/2025,EMP-026,Cancelled,North,False,rug,1,Alpha Supplies Co.
0,rug,462338743-7,13,680,8840,7/27/2025,EMP-024,Open,East,False,rug,1,Alpha Supplies Co.
0,rug,462338743-7,6,680,4080,5/25/2025,EMP-022,Closed,North,False,rug,1,Alpha Supplies Co.
0,rug,462338743-7,11,680,7480,4/5/2025,EMP-030,Open,North,False,rug,1,Alpha Supplies Co.
0,tv remote,851653117-1,17,880,14960,2/12/2025,EMP-037,Closed,West,False,tv remote,0.68,Alpha Supplies Co.
0,ecozy msiart nugget ice maker,,4,630,2520,8/9/2025,EMP-034,Closed,North,True,N,0.43,Alpha Supplies Co.
0,rug,462338743-7,5,680,3400,2/3/2025,EMP-028,Closed,East,False,rug,1,Alpha Supplies Co.
1,rug,462338743-7,20,680,13600,8/28/2025,EMP-025,Closed,West,False,rug,1,Alpha Supplies Co.
1,rug,462338743-7,11,680,7480,5/25/2025,EMP-022,Closed,North,False,rug,1,Alpha Supplies Co.
1,tv remote,851653117-1,15,880,13200,8/28/2025,EMP-025,Closed,West,False,tv remote,0.68,Alpha Supplies Co.
1,rug,462338743-7,16,680,10880,8/28/2025,EMP-025,Closed,West,False,rug,1,Alpha Supplies Co.
1,rug,462338743-7,8,680,5440,8/28/2025,EMP-025,Closed,West,False,rug,1,Alpha Supplies Co.
1,notebook,248047095-4,16,930,14880,1/11/2025,EMP-036,Open,East,False,N,0.59,Alpha Supplies Co.
2,tv remote,851653117-1,18,880,15840,3/4/2025,EMP-029,Cancelled,West,False,tv remote,0.68,Alpha Supplies Co.
2,television,,3,100,300,3/4/2025,EMP-029,Cancelled,West,True,N,0.24,Alpha Supplies Co.
2,rug,462338743-7,19,680,12920,2/3/2025,EMP-028,Closed,East,False,rug,1,Alpha Supplies Co.
2,rug,462338743-7,20,680,13600,7/8/2025,EMP-033,Open,West,False,rug,1,Alpha Supplies Co.
2,rug,462338743-7,6,680,4080,2/12/2025,EMP-037,Closed,West,False,rug,1,Alpha Supplies Co.
2,rug,462338743-7,16,680,10880,3/4/2025,EMP-029,Cancelled,West,False,rug,1,Alpha Supplies Co.
2,rug,462338743-7,12,680,8160,5/25/2025,EMP-022,Closed,North,False,rug,1,Alpha Supplies Co.
2,rug,462338743-7,12,680,8160,2/22/2025,EMP-019,Closed,South,False,rug,1,Alpha Supplies Co.
3,rug,462338743-7,4,680,2720,4/5/2025,EMP-030,Open,North,False,rug,1,Alpha Supplies Co.
3,rug,462338743-7,2,680,1360,8/9/2025,EMP-034,Closed,North,False,rug,1,Alpha Supplies Co.
3,rug,462338743-7,10,680,6800,4/5/2025,EMP-030,Open,North,False,rug,1,Alpha Supplies Co.
3,luggage,031900911-4,15,520,7800,2/3/2025,EMP-028,Closed,East,False,N,0.36,Alpha Supplies Co.
3,rug,462338743-7,1,680,680,9/1/2025,EMP-026,Cancelled,North,False,rug,1,Alpha Supplies Co.
