CASE_ID,LG_OPCODE_DESCRIPTION,LG_LOG_TIME_TIMESTAMP
13002734.0,Dettaglio elenco Cedolini e CU disponibili al download,17-JUL-24 10.26.01.436000 AM
15772.0,Download PDF dalla sezione Cedolini,30-JUL-24 07.53.06.541000 AM
5527.0,Download PDF dalla sezione Cedolini,29-JUL-24 08.50.30.761000 AM
18101.0,Download PDF dalla sezione Cedolini,31-JUL-24 04.10.48.433000 PM
7281.0,Dettaglio elenco Cedolini e CU disponibili al download,24-JUL-24 10.49.07.362000 AM
13001133.0,Dettaglio elenco Cedolini e CU disponibili al download,29-JUL-24 08.07.13.658000 AM
13000266.0,Download PDF dalla sezione Cedolini,16-JUL-24 01.08.48.462000 PM
13002347.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,02-JUL-24 08.07.23.075000 PM
13001720.0,Download PDF dalla sezione Cedolini,17-JUL-24 11.19.06.686000 AM
13002604.0,Download PDF dalla sezione Cedolini,31-JUL-24 03.59.49.571000 PM
9888.0,Dettaglio elenco Cedolini e CU disponibili al download,16-JUL-24 12.56.06.426000 PM
11511.0,Dettaglio elenco Cedolini e CU disponibili al download,24-JUL-24 11.07.02.789000 AM
13452.0,Dettaglio elenco Cedolini e CU disponibili al download,26-JUL-24 10.54.24.599000 AM
6172.0,Download PDF dalla sezione Cedolini,11-JUL-24 09.27.56.449000 AM
8007.0,Dettaglio elenco Cedolini e CU disponibili al download,16-JUL-24 12.54.55.924000 PM
8007.0,Dettaglio elenco Cedolini e CU disponibili al download,16-JUL-24 12.52.38.552000 PM
13001358.0,Download PDF dalla sezione Cedolini,05-JUL-24 02.48.20.453000 PM
13001060.0,HR/Normal user tries to update the answer,24-JUL-24 03.13.35.831000 PM
7262.0,Dettaglio elenco Cedolini e CU disponibili al download,30-JUL-24 11.09.18.398000 AM
13002729.0,Recupero dettagliutente per Scelta Welfare,24-JUL-24 02.22.32.444000 PM
13000152.0,Verifica possibilità di accesso a fondo pensione per Scelta Welfare,01-JUL-24 08.37.53.885000 PM
13000855.0,Dettaglio elenco Cedolini e CU disponibili al download,02-JUL-24 09.57.31.305000 AM
8099.0,Recupero dettagli utente per invio adesione Fondo Nazionale,19-JUL-24 04.18.32.134000 PM
13001057.0,Dettaglio elenco Cedolini e CU disponibili al download,24-JUL-24 09.20.38.513000 AM
13000371.0,Recupero dettagli utente per invio adesione Fondo Nazionale,25-JUL-24 03.48.23.820000 PM
11509.0,Dettaglio elenco Cedolini e CU disponibili al download,30-JUL-24 06.06.12.992000 PM
19481.0,Download PDF dalla sezione Cedolini,04-JUL-24 09.18.24.192000 AM
13002462.0,Dettaglio elenco Cedolini e CU disponibili al download,31-JUL-24 08.16.45.221000 AM
9233.0,Recupero dettagliutente per Scelta Welfare,04-JUL-24 09.49.41.253000 AM
13001672.0,Download PDF dalla sezione Cedolini,04-JUL-24 08.53.11.654000 AM
